transaction_id,user_id,vendor_id,amount,timestamp,type
TXN001,U01,V01,200.00,2026-06-01T10:00:00,DEBIT
TXN002,U02,V02,500.00,2026-06-01T10:05:00,DEBIT
TXN003,U01,V03,1000.00,2026-06-01T10:10:00,CREDIT
TXN004,U03,V01,150.00,2026-06-01T10:15:00,DEBIT
TXN005,U02,V04,300.00,2026-06-01T10:20:00,DEBIT
TXN006,U04,V02,750.00,2026-06-01T10:25:00,DEBIT
TXN007,U01,V01,200.00,2026-06-01T10:30:00,REFUND
TXN008,U05,V03,4500.00,2026-06-01T10:35:00,DEBIT
TXN009,U03,V04,100.00,2026-06-01T10:40:00,DEBIT
TXN010,U02,V01,600.00,2026-06-01T10:45:00,DEBIT
